origin,destination,people,reason_group,source_status,period,origin_code,destination_code
울산광역시,제주특별자치도,48,population_movement,official_mois,202605,3100000000,5000000000
강원특별자치도,제주특별자치도,48,population_movement,official_mois,202605,5100000000,5000000000
부산광역시,세종특별자치시,47,population_movement,official_mois,202605,2600000000,3600000000
세종특별자치시,부산광역시,47,population_movement,official_mois,202605,3600000000,2600000000
대구광역시,세종특별자치시,46,population_movement,official_mois,202605,2700000000,3600000000
전북특별자치도,울산광역시,46,population_movement,official_mois,202605,5200000000,3100000000
전북특별자치도,제주특별자치도,46,population_movement,official_mois,202605,5200000000,5000000000
울산광역시,강원특별자치도,41,population_movement,official_mois,202605,3100000000,5100000000
대전광역시,제주특별자치도,38,population_movement,official_mois,202605,3000000000,5000000000
울산광역시,전북특별자치도,38,population_movement,official_mois,202605,3100000000,5200000000
강원특별자치도,세종특별자치시,38,population_movement,official_mois,202605,5100000000,3600000000
광주광역시,대구광역시,37,population_movement,official_mois,202605,2900000000,2700000000
강원특별자치도,울산광역시,37,population_movement,official_mois,202605,5100000000,3100000000
제주특별자치도,울산광역시,37,population_movement,official_mois,202605,5000000000,3100000000
세종특별자치시,전라남도,35,population_movement,official_mois,202605,3600000000,4600000000
광주광역시,세종특별자치시,31,population_movement,official_mois,202605,2900000000,3600000000
전라남도,세종특별자치시,31,population_movement,official_mois,202605,4600000000,3600000000
세종특별자치시,강원특별자치도,29,population_movement,official_mois,202605,3600000000,5100000000
광주광역시,울산광역시,28,population_movement,official_mois,202605,2900000000,3100000000
울산광역시,광주광역시,28,population_movement,official_mois,202605,3100000000,2900000000
울산광역시,세종특별자치시,28,population_movement,official_mois,202605,3100000000,3600000000
제주특별자치도,세종특별자치시,28,population_movement,official_mois,202605,5000000000,3600000000
세종특별자치시,광주광역시,26,population_movement,official_mois,202605,3600000000,2900000000
세종특별자치시,제주특별자치도,14,population_movement,official_mois,202605,3600000000,5000000000
세종특별자치시,울산광역시,11,population_movement,official_mois,202605,3600000000,3100000000
