period,origin_code,origin,destination_code,destination,people,male,female,age_0_14,age_0_14_male,age_0_14_female,age_15_24,age_15_24_male,age_15_24_female,age_25_39,age_25_39_male,age_25_39_female,age_40_54,age_40_54_male,age_40_54_female,age_55_64,age_55_64_male,age_55_64_female,age_65_plus,age_65_plus_male,age_65_plus_female,level,source_status,source_endpoint
202605,3000000000,대전광역시,3600000000,세종특별자치시,445,234,211,42,25,17,42,21,21,203,111,92,67,38,29,47,21,26,44,18,26,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,4100000000,경기도,932,554,378,33,13,20,181,107,74,459,285,174,125,78,47,68,38,30,66,33,33,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,4300000000,충청북도,681,374,307,25,9,16,129,65,64,293,170,123,93,51,42,93,60,33,48,19,29,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,4400000000,충청남도,967,523,444,51,21,30,175,86,89,336,202,134,166,89,77,137,79,58,102,46,56,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,4600000000,전라남도,112,59,53,4,2,2,21,11,10,46,23,23,21,14,7,10,4,6,10,5,5,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,4700000000,경상북도,204,122,82,9,5,4,49,29,20,72,42,30,28,18,10,28,21,7,18,7,11,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,4800000000,경상남도,152,95,57,7,4,3,23,13,10,70,45,25,20,12,8,19,12,7,13,9,4,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,5000000000,제주특별자치도,38,24,14,1,1,0,9,6,3,15,8,7,6,5,1,6,3,3,1,1,0,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,5100000000,강원특별자치도,132,71,61,9,4,5,20,9,11,61,36,25,18,10,8,13,6,7,11,6,5,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,5200000000,전북특별자치도,258,126,132,7,5,2,70,31,39,96,47,49,35,18,17,28,13,15,22,12,10,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,1100000000,서울특별시,382,179,203,9,5,4,109,39,70,204,101,103,27,16,11,13,7,6,20,11,9,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,2600000000,부산광역시,758,440,318,34,19,15,168,82,86,345,227,118,97,60,37,50,32,18,64,20,44,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,2700000000,대구광역시,249,139,110,12,5,7,81,35,46,97,61,36,27,15,12,20,14,6,12,9,3,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,2800000000,인천광역시,97,55,42,9,4,5,23,13,10,41,24,17,12,7,5,5,5,0,7,2,5,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,2900000000,광주광역시,28,16,12,2,1,1,10,7,3,11,7,4,4,1,3,0,0,0,1,0,1,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,3000000000,대전광역시,89,48,41,1,1,0,30,17,13,36,18,18,9,7,2,5,2,3,8,3,5,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,3100000000,울산광역시,5397,2800,2597,523,280,243,441,225,216,2084,1120,964,1056,543,513,732,393,339,561,239,322,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,3600000000,세종특별자치시,28,14,14,3,2,1,6,4,2,7,4,3,7,3,4,4,1,3,1,0,1,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,4100000000,경기도,374,229,145,9,5,4,66,34,32,166,107,59,67,48,19,44,28,16,22,7,15,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,4300000000,충청북도,73,52,21,2,2,0,15,8,7,30,23,7,14,11,3,6,4,2,6,4,2,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,4400000000,충청남도,127,79,48,5,2,3,26,13,13,55,42,13,20,9,11,12,9,3,9,4,5,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,4600000000,전라남도,67,46,21,1,0,1,10,8,2,23,17,6,21,15,6,9,6,3,3,0,3,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,4700000000,경상북도,554,328,226,19,13,6,118,69,49,177,110,67,91,61,30,88,43,45,61,32,29,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,4800000000,경상남도,490,319,171,20,9,11,60,38,22,190,132,58,100,67,33,75,48,27,45,25,20,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,5000000000,제주특별자치도,48,28,20,3,0,3,10,6,4,24,15,9,5,3,2,5,3,2,1,1,0,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,5100000000,강원특별자치도,41,27,14,0,0,0,8,3,5,18,14,4,3,3,0,6,3,3,6,4,2,sido,official_mois,ppltnDataStus/selectPpltnDataStus
